TYPE,YEAR,MONTH,DAY,HOUR,MINUTE,HUNDRED_BLOCK,NEIGHBOURHOOD,X,Y
Break and Enter Commercial,2019,8,15,5,51,11XX FRANKLIN ST,Strathcona,494180.215016,5458846.25954
Break and Enter Commercial,2019,7,7,5,30,11XX GARDEN DR,Grandview-Woodland,495791.003909,5457951.39123
Break and Enter Commercial,2019,7,13,9,48,11XX GRANVILLE ST,Central Business District,490841.32293500006,5458287.778530001
Break and Enter Commercial,2019,7,17,9,37,11XX HAMILTON ST,Central Business District,491165.483614,5458114.94044
Break and Enter Commercial,2019,10,28,0,0,11XX HAMILTON ST,Central Business District,491169.83165699994,5458106.34483
Break and Enter Commercial,2019,10,28,4,0,11XX HAMILTON ST,Central Business District,491169.83165699994,5458106.34483
Break and Enter Commercial,2019,8,4,17,19,11XX HARWOOD ST,West End,490190.45669799997,5458582.70251
Break and Enter Commercial,2019,8,19,17,0,11XX HARWOOD ST,West End,490225.18576499994,5458548.410080001
Break and Enter Commercial,2019,8,19,8,54,11XX HARWOOD ST,West End,490259.914825,5458514.11766
Break and Enter Commercial,2019,9,17,1,5,11XX HARWOOD ST,West End,490259.914825,5458514.11766
Break and Enter Commercial,2019,7,13,4,20,11XX HORNBY ST,Central Business District,490751.61557200004,5458494.06109
Break and Enter Commercial,2019,8,6,9,47,11XX HORNBY ST,Central Business District,490751.61557200004,5458494.06109
Break and Enter Commercial,2019,9,13,10,24,11XX HORNBY ST,Central Business District,490751.61557200004,5458494.06109
Break and Enter Commercial,2019,11,9,12,58,11XX HORNBY ST,Central Business District,490751.61557200004,5458494.06109
Break and Enter Commercial,2019,7,1,2,0,11XX HOWE ST,Central Business District,490761.55471999996,5458365.95883
Break and Enter Commercial,2019,10,28,6,6,11XX HOWE ST,Central Business District,490776.462771,5458368.04458
Break and Enter Commercial,2019,7,4,5,18,11XX MAIN ST,Central Business District,492719.31675299996,5457950.08725
Break and Enter Commercial,2019,9,6,4,12,11XX MAIN ST,Central Business District,492719.31675299996,5457950.08725
Break and Enter Commercial,2019,10,11,16,0,11XX MAINLAND ST,Central Business District,491142.865751,5458001.63045
Break and Enter Commercial,2019,7,14,2,30,11XX MELVILLE ST,Central Business District,490982.607917,5459443.73681
Break and Enter Commercial,2019,9,28,0,0,11XX MELVILLE ST,Central Business District,491020.59677299997,5459406.98255
Break and Enter Commercial,2019,10,1,0,0,11XX MELVILLE ST,Central Business District,491020.59677299997,5459406.98255
Break and Enter Commercial,2019,10,6,19,15,11XX MELVILLE ST,Central Business District,491020.59677299997,5459406.98255
Break and Enter Commercial,2019,10,13,14,0,11XX MELVILLE ST,Central Business District,491020.59677299997,5459406.98255
Break and Enter Commercial,2019,10,29,18,32,11XX MELVILLE ST,Central Business District,491020.59677299997,5459406.98255
Break and Enter Commercial,2019,9,2,23,15,11XX MELVILLE ST,Central Business District,491109.33970699995,5459333.8457
Break and Enter Commercial,2019,10,21,2,24,11XX MELVILLE ST,Central Business District,491117.69309399993,5459313.04039
Break and Enter Commercial,2019,10,21,1,45,11XX RICHARDS ST,Central Business District,491058.18296199996,5458236.73555
Break and Enter Commercial,2019,10,7,15,29,11XX ROBSON ST,West End,490890.673964,5459137.7805699995
Break and Enter Commercial,2019,7,21,12,41,11XX ROBSON ST,West End,490907.55484700005,5459120.92011
Break and Enter Commercial,2019,8,11,0,0,11XX SE MARINE DR,Sunset,493932.919184,5450918.86123
Break and Enter Commercial,2019,8,6,17,12,11XX SEYMOUR ST,Central Business District,490991.215928,5458304.61723
Break and Enter Commercial,2019,8,8,9,26,11XX SEYMOUR ST,Central Business District,490991.215928,5458304.61723
Break and Enter Commercial,2019,7,11,12,26,11XX SEYMOUR ST,Central Business District,490997.82188500004,5458311.19566
Break and Enter Commercial,2019,7,21,2,45,11XX SEYMOUR ST,Central Business District,490997.82188500004,5458311.19566
Break and Enter Commercial,2019,8,6,20,33,11XX SEYMOUR ST,Central Business District,490997.82188500004,5458311.19566
Break and Enter Commercial,2019,7,24,4,6,11XX THE CASTINGS ST,Fairview,490473.362867,5457124.92533
Break and Enter Commercial,2019,10,18,4,22,11XX W 8TH AVE,Fairview,490530.30924,5456859.05649
Break and Enter Commercial,2019,10,12,9,24,11XX W 8TH AVE,Fairview,490602.491619,5456857.13994
Break and Enter Commercial,2019,7,31,18,0,11XX W BROADWAY AVE,Fairview,490582.557398,5456746.56367
Break and Enter Commercial,2019,8,18,3,57,11XX W GEORGIA ST,Central Business District,490997.934798,5459279.61984
Break and Enter Commercial,2019,9,16,3,2,11XX W GEORGIA ST,Central Business District,490997.934798,5459279.61984
Break and Enter Commercial,2019,8,23,10,42,12XX BURNABY ST,West End,490193.336274,5458732.4223
Break and Enter Commercial,2019,9,12,19,0,12XX BURRARD ST,West End,490564.13619499997,5458455.158480001
Break and Enter Commercial,2019,7,4,19,0,12XX CARTWRIGHT ST,Fairview,490372.699958,5457436.26399
Break and Enter Commercial,2019,8,22,14,31,12XX CLARK DR,Strathcona,494371.768916,5457854.16565
Break and Enter Commercial,2019,10,8,8,12,12XX DAVIE ST,West End,490242.633828,5458856.48
Break and Enter Commercial,2019,8,22,18,0,12XX E 8TH AVE,Mount Pleasant,494274.155719,5456738.10964
Break and Enter Commercial,2019,10,9,8,22,12XX E PENDER ST,Strathcona,494274.91877299995,5458624.693390001
Break and Enter Commercial,2019,7,16,4,42,12XX GRANVILLE ST,Central Business District,490713.55553199997,5458170.18827
Break and Enter Commercial,2019,7,2,1,50,12XX HAMILTON ST,Central Business District,490995.202204,5457944.39872
Break and Enter Commercial,2019,7,18,8,44,12XX HARWOOD ST,West End,490097.70618999994,5458687.350190001
Break and Enter Commercial,2019,7,29,8,20,12XX HARWOOD ST,West End,490097.70618999994,5458687.350190001
Break and Enter Commercial,2019,8,12,9,49,12XX HARWOOD ST,West End,490097.70618999994,5458687.350190001
Break and Enter Commercial,2019,8,18,4,20,12XX HARWOOD ST,West End,490124.30315600004,5458660.976
Break and Enter Commercial,2019,7,13,1,25,12XX HORNBY ST,Central Business District,490680.035105,5458406.785680001
Break and Enter Commercial,2019,8,10,21,55,12XX HOWE ST,Central Business District,490650.590435,5458254.62287
Break and Enter Commercial,2019,7,26,3,17,12XX NICOLA ST,West End,489903.791837,5458982.709480001
Break and Enter Commercial,2019,8,19,5,44,12XX NICOLA ST,West End,489903.791837,5458982.709480001
Break and Enter Commercial,2019,8,20,0,0,12XX NICOLA ST,West End,489903.791837,5458982.709480001
Break and Enter Commercial,2019,10,12,18,5,12XX PACIFIC BLVD,Central Business District,491046.92205,5457866.69307
Break and Enter Commercial,2019,9,22,7,6,12XX PACIFIC BLVD,Central Business District,491051.76620699995,5457868.586630001
Break and Enter Commercial,2019,7,16,22,0,12XX PACIFIC ST,West End,489988.51383400004,5458640.10166
Break and Enter Commercial,2019,9,5,7,30,12XX PACIFIC ST,West End,489988.51383400004,5458640.10166
Break and Enter Commercial,2019,11,3,16,0,12XX PENDRELL ST,West End,490316.334103,5458934.26437
Break and Enter Commercial,2019,8,19,13,37,12XX PENDRELL ST,West End,490342.182057,5458894.45836
Break and Enter Commercial,2019,9,16,18,0,12XX SALSBURY DR,Grandview-Woodland,495086.663231,5457889.707280001
Break and Enter Commercial,2019,9,9,23,0,12XX W 13TH AVE,Fairview,490318.03202700004,5456333.85618
Break and Enter Commercial,2019,7,8,9,0,12XX W 14TH AVE,Fairview,490413.079933,5456238.87666
Break and Enter Commercial,2019,9,13,1,30,12XX W 15TH AVE,Fairview,490370.55148,5456138.26754
Break and Enter Commercial,2019,9,12,5,14,12XX W GEORGIA ST,Central Business District,490801.142213,5459474.309640001
Break and Enter Commercial,2019,9,2,4,1,12XX W HASTINGS ST,Central Business District,490992.153125,5459600.392990001
Break and Enter Commercial,2019,8,21,8,19,12XX W HASTINGS ST,Central Business District,491061.52891999995,5459578.19985
Break and Enter Commercial,2019,8,25,17,3,12XX W HASTINGS ST,Central Business District,491061.52891999995,5459578.19985
Break and Enter Commercial,2019,8,11,3,34,12XX W PENDER ST,Central Business District,490898.995611,5459575.086680001
Break and Enter Commercial,2019,9,1,0,0,12XX W PENDER ST,Central Business District,490898.995611,5459575.086680001
Break and Enter Commercial,2019,9,30,0,30,12XX W PENDER ST,Central Business District,490899.04246,5459585.15756
Break and Enter Commercial,2019,9,28,10,52,12XX W PENDER ST,Central Business District,491021.54934399994,5459527.907880001
Break and Enter Commercial,2019,8,29,23,0,13XX BIDWELL ST,West End,489685.71046000003,5459161.09374
Break and Enter Commercial,2019,8,15,19,46,13XX BIRCH WALK,Fairview,490215.273584,5457295.90271
Break and Enter Commercial,2019,10,20,0,7,13XX CARDERO ST,West End,489766.690205,5459025.408
Break and Enter Commercial,2019,11,11,23,19,13XX DAVIE ST,West End,490145.366547,5458952.8408699995
Break and Enter Commercial,2019,9,30,9,29,13XX E 3RD AVE,Grandview-Woodland,494428.957999,5457239.09356
Break and Enter Commercial,2019,9,29,12,25,13XX E 8TH AVE,Grandview-Woodland,494382.087258,5456727.76904
Break and Enter Commercial,2019,7,4,11,56,13XX E KENT AVE N,Sunset,494146.71280200005,5450708.37095
Break and Enter Commercial,2019,8,3,14,32,13XX E KENT AVE N,Sunset,494146.71280200005,5450708.37095
Break and Enter Commercial,2019,8,3,20,26,13XX E KENT AVE N,Sunset,494146.71280200005,5450708.37095
Break and Enter Commercial,2019,8,30,13,5,13XX E KENT AVE N,Sunset,494146.71280200005,5450708.37095
Break and Enter Commercial,2019,9,2,0,0,13XX E KENT AVE N,Sunset,494146.71280200005,5450708.37095
Break and Enter Commercial,2019,9,2,0,1,13XX E KENT AVE N,Sunset,494146.71280200005,5450708.37095
Break and Enter Commercial,2019,9,4,11,18,13XX E KENT AVE N,Sunset,494146.71280200005,5450708.37095
Break and Enter Commercial,2019,11,10,15,0,13XX E KENT AVE N,Sunset,494146.71280200005,5450708.37095
Break and Enter Commercial,2019,10,30,19,0,13XX HORNBY ST,Central Business District,490497.554888,5458237.17925
Break and Enter Commercial,2019,8,26,11,50,13XX ODLUM DR,Grandview-Woodland,494470.855092,5457745.50546
Break and Enter Commercial,2019,9,13,11,15,13XX ODLUM DR,Grandview-Woodland,494470.855092,5457745.50546
Break and Enter Commercial,2019,10,14,8,59,13XX ODLUM DR,Grandview-Woodland,494470.855092,5457745.50546
Break and Enter Commercial,2019,9,22,7,0,13XX RICHARDS ST,Central Business District,490833.772345,5457995.68891
Break and Enter Commercial,2019,10,25,14,51,13XX ROBSON ST,West End,490599.11573599995,5459416.02119
Break and Enter Commercial,2019,9,14,11,30,13XX ROBSON ST,West End,490628.15207700006,5459399.9753
Break and Enter Commercial,2019,7,21,4,35,13XX ROLSTON ST,Central Business District,490735.29307200003,5458092.43862
Break and Enter Commercial,2019,9,3,22,0,13XX SE MARINE DR,Sunset,494193.794943,5450937.01183
Break and Enter Commercial,2019,9,17,11,15,13XX VENABLES ST,Grandview-Woodland,494413.398529,5458229.4186
Break and Enter Commercial,2019,8,23,21,0,13XX W 10TH AVE,Fairview,490176.680182,5456649.81222
Break and Enter Commercial,2019,8,10,21,57,13XX W 12TH AVE,Fairview,490190.209556,5456445.13187
Break and Enter Commercial,2019,7,19,0,0,13XX W 4TH AVE,Fairview,490174.942328,5457110.396430001
Break and Enter Commercial,2019,7,31,22,0,13XX W 73RD AVE,Marpole,490149.373774,5450172.49983
Break and Enter Commercial,2019,9,18,4,43,13XX W 8TH AVE,Fairview,490128.17284799996,5456868.37474
Break and Enter Commercial,2019,10,16,3,15,13XX W BROADWAY AVE,Fairview,490227.51152700005,5456755.91814
Break and Enter Commercial,2019,8,5,17,37,13XX W GEORGIA ST,Central Business District,490745.841553,5459529.058540001
Break and Enter Commercial,2019,9,8,8,45,13XX W PENDER ST,Central Business District,490761.359033,5459636.447319999
Break and Enter Commercial,2019,7,10,6,15,14XX ADANAC ST,Grandview-Woodland,494585.601505,5458318.71932
Break and Enter Commercial,2019,8,17,8,5,14XX BARCLAY ST,West End,490341.244552,5459365.0758
Break and Enter Commercial,2019,10,29,4,56,14XX BARCLAY ST,West End,490341.244552,5459365.0758
Break and Enter Commercial,2019,9,24,7,51,14XX BURNABY ST,West End,489981.796278,5458955.760009999
Break and Enter Commercial,2019,10,8,0,29,14XX CEDAR COTTAGE MEWS,Kensington-Cedar Cottage,494517.73072700005,5455159.87624
Break and Enter Commercial,2019,8,24,7,14,14XX COMMERCIAL DR,Grandview-Woodland,494931.28247200005,5457670.99538
Break and Enter Commercial,2019,8,22,10,15,14XX CREEKSIDE DR,Fairview,489756.42103500006,5457810.442530001
Break and Enter Commercial,2019,8,31,10,26,14XX CREEKSIDE DR,Fairview,489764.40317700006,5457805.98176
Break and Enter Commercial,2019,9,30,1,22,14XX E 3RD AVE,Grandview-Woodland,494546.699461,5457237.97722
Break and Enter Commercial,2019,8,14,10,28,14XX E BROADWAY AVE,Grandview-Woodland,494606.20402299997,5456629.40015
Break and Enter Commercial,2019,10,19,3,5,14XX E BROADWAY AVE,Grandview-Woodland,494606.20402299997,5456629.40015
Break and Enter Commercial,2019,10,26,4,38,14XX E BROADWAY AVE,Grandview-Woodland,494606.20402299997,5456629.40015
Break and Enter Commercial,2019,11,10,13,30,14XX E GEORGIA ST,Grandview-Woodland,494531.93524399993,5458427.9818
Break and Enter Commercial,2019,8,6,22,7,14XX E HASTINGS ST,Grandview-Woodland,494592.75389700005,5458736.01272
Break and Enter Commercial,2019,10,27,4,40,14XX E HASTINGS ST,Grandview-Woodland,494592.75389700005,5458736.01272
Break and Enter Commercial,2019,8,5,18,0,14XX HARWOOD ST,West End,489909.77047,5458860.80259
Break and Enter Commercial,2019,11,4,3,32,14XX HORNBY ST,Central Business District,490393.245265,5458132.7753800005
Break and Enter Commercial,2019,11,8,5,28,14XX SW MARINE DR,Marpole,489836.815641,5450216.71813
Break and Enter Commercial,2019,11,9,23,0,14XX W 8TH AVE,Fairview,490022.326686,5456871.173140001
Break and Enter Commercial,2019,8,2,20,19,14XX W GEORGIA ST,Central Business District,490632.30081899994,5459642.39562
Break and Enter Commercial,2019,10,13,0,45,14XX W PENDER ST,Central Business District,490625.72972700006,5459708.45116
Break and Enter Commercial,2019,8,16,7,11,15XX BARCLAY ST,West End,490274.552864,5459444.24228
Break and Enter Commercial,2019,9,19,15,26,15XX BARCLAY ST,West End,490288.387282,5459430.678069999
Break and Enter Commercial,2019,8,7,15,20,15XX BEACH AVE,West End,489744.19763500005,5458883.782930001
Break and Enter Commercial,2019,8,22,1,4,15XX BEACH AVE,West End,489744.19763500005,5458883.782930001
Break and Enter Commercial,2019,9,11,1,30,15XX HARO ST,West End,490319.224693,5459538.90281
Break and Enter Commercial,2019,10,22,10,24,15XX HARO ST,West End,490319.224693,5459538.90281
Break and Enter Commercial,2019,9,25,13,56,15XX HARO ST,West End,490386.355663,5459483.22617
Break and Enter Commercial,2019,8,1,4,30,15XX HORNBY ST,Central Business District,490343.237435,5458068.915440001
Break and Enter Commercial,2019,9,6,6,14,15XX ISLAND PARK WALK,Fairview,489999.96090299997,5457483.8372599995
Break and Enter Commercial,2019,9,24,5,40,15XX ROBSON ST,West End,490440.95501499996,5459584.59847
Break and Enter Commercial,2019,10,20,14,54,15XX ROBSON ST,West End,490446.46839399997,5459579.10645
Break and Enter Commercial,2019,9,12,8,10,15XX VERNON DR,Strathcona,494267.89718699997,5457563.44429
Break and Enter Commercial,2019,9,21,0,14,15XX VERNON DR,Strathcona,494267.89718699997,5457563.44429
Break and Enter Commercial,2019,8,16,10,31,15XX W 2ND AVE,Fairview,489883.138343,5457448.66417
Break and Enter Commercial,2019,7,6,6,0,15XX W 33RD AVE,Shaughnessy,489746.863753,5454352.43471
Break and Enter Commercial,2019,7,14,6,31,15XX W 3RD AVE,Fairview,489801.774317,5457352.95373
Break and Enter Commercial,2019,8,19,9,35,15XX W 3RD AVE,Fairview,489820.746913,5457343.30517
Break and Enter Commercial,2019,9,11,3,30,15XX W 3RD AVE,Fairview,489820.746913,5457343.30517
Break and Enter Commercial,2019,7,24,5,0,15XX W 57TH AVE,Kerrisdale,489633.45695200004,5451858.9249
Break and Enter Commercial,2019,7,20,21,46,15XX W 57TH AVE,Kerrisdale,489756.390882,5451853.9471
Break and Enter Commercial,2019,9,18,1,35,15XX W 57TH AVE,Kerrisdale,489756.390882,5451853.9471
Break and Enter Commercial,2019,10,19,5,33,15XX W 7TH AVE,Fairview,489813.88866000006,5456969.986169999
Break and Enter Commercial,2019,7,12,7,50,15XX W 7TH AVE,Fairview,489868.59647,5456959.38038
Break and Enter Commercial,2019,8,5,4,17,16XX ALBERNI ST,West End,490395.721919,5459773.34786
Break and Enter Commercial,2019,9,20,0,0,16XX ARBUTUS ST,Kitsilano,488900.750909,5457648.92626
Break and Enter Commercial,2019,7,6,4,55,16XX BAYSHORE DR,Central Business District,490598.52197600005,5459866.26395
Break and Enter Commercial,2019,10,11,4,40,16XX BURNABY ST,West End,489775.50646199996,5459146.27831
Break and Enter Commercial,2019,11,8,22,9,16XX BURNABY ST,West End,489775.50646199996,5459146.27831
Break and Enter Commercial,2019,7,26,3,45,16XX COMMERCIAL DR,Grandview-Woodland,494927.916762,5457487.05233
Break and Enter Commercial,2019,7,10,3,16,16XX COMMERCIAL DR,Grandview-Woodland,494937.38073699997,5457503.2726
Break and Enter Commercial,2019,8,18,8,20,16XX DAVIE ST,West End,489834.551105,5459246.88819
Break and Enter Commercial,2019,7,21,13,20,16XX E 6TH AVE,Grandview-Woodland,494832.76811899996,5456932.75094
Break and Enter Commercial,2019,8,22,15,0,16XX E BROADWAY AVE,Grandview-Woodland,494879.93416199996,5456625.5806
Break and Enter Commercial,2019,9,1,18,12,16XX E PENDER ST,Grandview-Woodland,494792.088124,5458622.90917
Break and Enter Commercial,2019,9,1,18,25,16XX E PENDER ST,Grandview-Woodland,494792.088124,5458622.90917
Break and Enter Commercial,2019,10,24,12,19,16XX E PENDER ST,Grandview-Woodland,494845.750339,5458621.95422
Break and Enter Commercial,2019,8,14,5,42,16XX FRANCES ST,Grandview-Woodland,494754.3993,5458514.20595
Break and Enter Commercial,2019,10,31,3,7,16XX HORNBY ST,Central Business District,490299.28059499996,5458037.73107
Break and Enter Commercial,2019,7,28,7,32,16XX HOWE ST,Central Business District,490352.71967799996,5457942.98987
Break and Enter Commercial,2019,10,15,13,25,16XX JOHNSTON ST,Fairview,490124.95457,5457766.16945
Break and Enter Commercial,2019,9,20,9,30,16XX MAIN ST,Strathcona,492705.787837,5457612.21858
Break and Enter Commercial,2019,8,30,4,0,16XX NELSON ST,West End,490043.011091,5459502.92527
Break and Enter Commercial,2019,8,2,4,30,16XX ONTARIO ST,Mount Pleasant,492386.21839700005,5457585.02527
Break and Enter Commercial,2019,10,3,17,13,16XX ONTARIO ST,Mount Pleasant,492386.21839700005,5457585.02527
Break and Enter Commercial,2019,9,20,0,0,16XX PULLMAN PORTER ST,Mount Pleasant,492478.43428100005,5457602.1552
Break and Enter Commercial,2019,7,4,1,50,16XX QUEBEC ST,Mount Pleasant,492527.06586800003,5457535.777480001
Break and Enter Commercial,2019,9,19,9,14,16XX QUEBEC ST,Mount Pleasant,492527.06586800003,5457535.777480001
Break and Enter Commercial,2019,7,12,15,45,16XX ROBSON ST,West End,490361.087291,5459651.46505
Break and Enter Commercial,2019,11,4,5,7,16XX ROBSON ST,West End,490361.087291,5459651.46505
Break and Enter Commercial,2019,8,11,3,30,16XX W 12TH AVE,Fairview,489585.28665799997,5456462.1456
Break and Enter Commercial,2019,10,1,12,30,16XX W 3RD AVE,Fairview,489590.606849,5457349.94066
Break and Enter Commercial,2019,8,20,5,25,16XX W 4TH AVE,Fairview,489628.910114,5457257.91137
Break and Enter Commercial,2019,7,3,4,30,16XX W 6TH AVE,Fairview,489711.599209,5457057.19151
Break and Enter Commercial,2019,9,7,19,0,16XX W 75TH AVE,Marpole,489297.671334,5450398.520330001
Break and Enter Commercial,2019,11,2,5,45,16XX W 7TH AVE,Fairview,489655.39708900003,5456964.86886
Break and Enter Commercial,2019,10,15,3,27,16XX WHYTE AVE,Kitsilano,489688.205784,5458137.91154
Break and Enter Commercial,2019,10,17,1,41,16XX WHYTE AVE,Kitsilano,489688.205784,5458137.91154
Break and Enter Commercial,2019,8,13,3,26,17XX ADANAC ST,Grandview-Woodland,494919.753636,5458319.51248
Break and Enter Commercial,2019,10,15,0,29,17XX BEACH AVE,West End,489650.24052399996,5459342.81834
Break and Enter Commercial,2019,9,24,4,10,17XX BURRARD ST,Fairview,489417.147076,5457485.10181
Break and Enter Commercial,2019,10,1,5,57,17XX BURRARD ST,Fairview,489417.262284,5457487.037330001
Break and Enter Commercial,2019,8,28,0,0,17XX COMOX ST,West End,489904.77644,5459485.40948
Break and Enter Commercial,2019,9,30,10,15,17XX COMOX ST,West End,489904.77644,5459485.40948
Break and Enter Commercial,2019,9,7,10,50,17XX E 10TH AVE,Kensington-Cedar Cottage,494995.917725,5456512.04802
Break and Enter Commercial,2019,8,19,23,51,17XX E HASTINGS ST,Grandview-Woodland,494993.31526400003,5458718.659990001
Break and Enter Commercial,2019,9,28,15,3,17XX E HASTINGS ST,Grandview-Woodland,494993.31526400003,5458718.659990001
Break and Enter Commercial,2019,8,11,12,38,17XX FRANCES ST,Grandview-Woodland,494991.388462,5458518.2460199995
Break and Enter Commercial,2019,7,28,16,3,17XX PENDRELL ST,West End,489824.046776,5459410.76894
Break and Enter Commercial,2019,10,20,23,55,17XX PENDRELL ST,West End,489849.27735200006,5459398.89819
